scenario,leading_object_type,leading_object_id,event_id,event_time,reference_state,state_reason,policy_or_rule_version,data_complete,state_before,state_after,is_transition,transition_id
inventory,ItemLocation,IL-0001,INV-E-000001,2025-01-01T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,,Normal,false,
inventory,ItemLocation,IL-0001,INV-E-000009,2025-01-02T00:00:10Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0001,INV-E-000010,2025-01-02T00:00:20Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0001,INV-E-000011,2025-01-02T00:00:30Z,Understock,post-event on-hand is below the lower threshold,P1,true,Normal,Understock,true,INV-T-00001
inventory,ItemLocation,IL-0001,INV-E-000012,2025-01-02T00:00:40Z,Critical Understock,confirmed demand exceeds usable stock plus timely inbound,P1,true,Understock,Critical Understock,true,INV-T-00002
inventory,ItemLocation,IL-0001,INV-E-000013,2025-01-02T00:00:50Z,Critical Understock,confirmed demand exceeds usable stock plus timely inbound,P1,true,Critical Understock,Critical Understock,false,
inventory,ItemLocation,IL-0001,INV-E-000014,2025-01-02T00:01:00Z,Critical Understock,confirmed demand exceeds usable stock plus timely inbound,P1,true,Critical Understock,Critical Understock,false,
inventory,ItemLocation,IL-0001,INV-E-000015,2025-01-04T00:01:00Z,Understock,post-event on-hand is below the lower threshold,P1,true,Critical Understock,Understock,true,INV-T-00003
inventory,ItemLocation,IL-0001,INV-E-000016,2025-01-06T00:00:00Z,Overstock,post-event on-hand is above the upper threshold,P1,true,Understock,Overstock,true,INV-T-00004
inventory,ItemLocation,IL-0001,INV-E-000017,2025-01-07T00:00:00Z,Overstock,post-event on-hand is above the upper threshold,P1,true,Overstock,Overstock,false,
inventory,ItemLocation,IL-0001,INV-E-000018,2025-01-08T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,Overstock,Normal,true,INV-T-00005
inventory,ItemLocation,IL-0001,INV-E-000045,2025-02-05T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0002,INV-E-000002,2025-01-01T00:00:00Z,Understock,post-event on-hand is below the lower threshold,P1,true,,Understock,false,
inventory,ItemLocation,IL-0002,INV-E-000019,2025-01-02T00:01:40Z,Understock,post-event on-hand is below the lower threshold,P1,true,Understock,Understock,false,
inventory,ItemLocation,IL-0002,INV-E-000020,2025-01-02T00:01:50Z,Understock,post-event on-hand is below the lower threshold,P1,true,Understock,Understock,false,
inventory,ItemLocation,IL-0002,INV-E-000021,2025-01-04T00:01:40Z,Understock,post-event on-hand is below the lower threshold,P1,true,Understock,Understock,false,
inventory,ItemLocation,IL-0002,INV-E-000022,2025-01-05T00:01:40Z,Understock,post-event on-hand is below the lower threshold,P1,true,Understock,Understock,false,
inventory,ItemLocation,IL-0002,INV-E-000023,2025-01-09T00:01:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Understock,Normal,true,INV-T-00006
inventory,ItemLocation,IL-0002,INV-E-000046,2025-02-05T00:00:01Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0003,INV-E-000003,2025-01-01T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,,Normal,false,
inventory,ItemLocation,IL-0003,INV-E-000024,2025-01-02T12:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0003,INV-E-000025,2025-01-03T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0003,INV-E-000026,2025-01-04T00:00:10Z,Overstock,post-event on-hand is above the upper threshold,P1,true,Normal,Overstock,true,INV-T-00007
inventory,ItemLocation,IL-0003,INV-E-000027,2025-01-04T00:00:20Z,Overstock,post-event on-hand is above the upper threshold,P2,true,Overstock,Overstock,false,
inventory,ItemLocation,IL-0003,INV-E-000028,2025-01-04T00:00:30Z,Overstock,post-event on-hand is above the upper threshold,P2,true,Overstock,Overstock,false,
inventory,ItemLocation,IL-0003,INV-E-000029,2025-01-05T00:00:10Z,Normal,post-event on-hand is within policy thresholds,P2,true,Overstock,Normal,true,INV-T-00008
inventory,ItemLocation,IL-0003,INV-E-000047,2025-02-05T00:00:02Z,Normal,post-event on-hand is within policy thresholds,P2,true,Normal,Normal,false,
inventory,ItemLocation,IL-0004,INV-E-000004,2025-01-01T00:00:00Z,Understock,post-event on-hand is below the lower threshold,P1,true,,Understock,false,
inventory,ItemLocation,IL-0004,INV-E-000030,2025-01-05T00:00:20Z,Normal,post-event on-hand is within policy thresholds,P1,true,Understock,Normal,true,INV-T-00009
inventory,ItemLocation,IL-0004,INV-E-000048,2025-02-05T00:00:03Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0005,INV-E-000005,2025-01-01T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,,Normal,false,
inventory,ItemLocation,IL-0005,INV-E-000031,2025-01-02T00:03:20Z,Understock,post-event on-hand is below the lower threshold,P1,true,Normal,Understock,true,INV-T-00010
inventory,ItemLocation,IL-0005,INV-E-000032,2025-01-02T00:03:30Z,Critical Understock,confirmed demand exceeds usable stock plus timely inbound,P1,true,Understock,Critical Understock,true,INV-T-00011
inventory,ItemLocation,IL-0005,INV-E-000033,2025-01-04T00:03:30Z,Normal,post-event on-hand is within policy thresholds,P1,true,Critical Understock,Normal,true,INV-T-00012
inventory,ItemLocation,IL-0005,INV-E-000049,2025-02-05T00:00:04Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0006,INV-E-000006,2025-01-01T00:00:00Z,Overstock,post-event on-hand is above the upper threshold,P1,true,,Overstock,false,
inventory,ItemLocation,IL-0006,INV-E-000034,2025-01-03T00:05:00Z,Overstock,post-event on-hand is above the upper threshold,P1,true,Overstock,Overstock,false,
inventory,ItemLocation,IL-0006,INV-E-000035,2025-01-03T00:05:10Z,Normal,post-event on-hand is within policy thresholds,P1,true,Overstock,Normal,true,INV-T-00013
inventory,ItemLocation,IL-0006,INV-E-000050,2025-02-05T00:00:05Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000007,2025-01-01T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000038,2025-01-02T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000039,2025-01-02T00:06:50Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000040,2025-01-03T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000041,2025-01-05T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000042,2025-01-06T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000044,2025-01-08T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0007,INV-E-000051,2025-02-05T00:00:06Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0008,INV-E-000008,2025-01-01T00:00:00Z,Normal,post-event on-hand is within policy thresholds,P1,true,,Normal,false,
inventory,ItemLocation,IL-0008,INV-E-000036,2025-01-03T00:08:20Z,Unknown,required stock or threshold data are incomplete,P1,false,Normal,Unknown,true,INV-T-00014
inventory,ItemLocation,IL-0008,INV-E-000037,2025-01-04T00:08:20Z,Normal,post-event on-hand is within policy thresholds,P1,true,Unknown,Normal,true,INV-T-00015
inventory,ItemLocation,IL-0008,INV-E-000043,2025-01-07T00:06:40Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
inventory,ItemLocation,IL-0008,INV-E-000052,2025-02-05T00:00:07Z,Normal,post-event on-hand is within policy thresholds,P1,true,Normal,Normal,false,
