scenario,leading_object_type,leading_object_id,event_id,event_time,reference_state,state_reason,policy_or_rule_version,data_complete,state_before,state_after,is_transition,transition_id
manufacturing,Machine,M-001,MFG-E-000001,2025-01-01T00:00:00Z,Running,machine mode is RUNNING,MFG-R1,true,,Running,false,
manufacturing,Machine,M-001,MFG-E-000009,2025-01-02T00:00:10Z,Degraded,observed degradation hysteresis is latched,MFG-R1,true,Running,Degraded,true,MFG-T-00001
manufacturing,Machine,M-001,MFG-E-000010,2025-01-02T00:00:20Z,Degraded,observed degradation hysteresis is latched,MFG-R1,true,Degraded,Degraded,false,
manufacturing,Machine,M-001,MFG-E-000011,2025-01-02T00:00:30Z,Degraded,observed degradation hysteresis is latched,MFG-R1,true,Degraded,Degraded,false,
manufacturing,Machine,M-001,MFG-E-000012,2025-01-02T00:00:40Z,Degraded,observed degradation hysteresis is latched,MFG-R1,true,Degraded,Degraded,false,
manufacturing,Machine,M-001,MFG-E-000013,2025-01-02T00:00:50Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Degraded,Down,true,MFG-T-00002
manufacturing,Machine,M-001,MFG-E-000014,2025-01-02T12:00:00Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000015,2025-01-03T00:00:10Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000016,2025-01-03T00:00:20Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000017,2025-01-03T00:00:30Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000018,2025-01-03T00:00:40Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000019,2025-01-03T00:00:50Z,Down,failure stop or DOWN mode is active,MFG-R1,true,Down,Down,false,
manufacturing,Machine,M-001,MFG-E-000020,2025-01-03T00:01:00Z,Recovery,restart validation has not reached stable-run duration,MFG-R1,true,Down,Recovery,true,MFG-T-00003
