id,activity,timestamp,ot:CUSTOMER,ot:MAT,ot:MAT_PLA,ot:PLA,ot:PO_ITEM,ot:SO_ITEM,ot:SUPPLIER,Stock Before,Stock After
e912,Create Purchase Order Item,2023-09-28T00:00:00+00:00,,MAT-69#None,MAT-69_Plant1#None,Plant1#None,PO_ITEM--128-1#None,,SUPPLIER--3#None,109.0,109.0
e997,Create Purchase Order Item,2023-09-29T00:00:00+00:00,,MAT-75#None,MAT-75_Plant1#None,Plant1#None,PO_ITEM--29-2#None,,SUPPLIER--29#None,45.0,45.0
e1144,Create Purchase Order Item,2023-09-29T00:00:00+00:00,,MAT-87#None,MAT-87_Plant4#None,Plant4#None,PO_ITEM--29-1#None,,SUPPLIER--29#None,0.0,0.0
e1295,Create Purchase Order Item,2023-09-30T00:00:00+00:00,,MAT-99#None,MAT-99_Plant2#None,Plant2#None,PO_ITEM--104-4#None,,SUPPLIER--11#None,0.0,0.0
e1296,Create Purchase Order Item,2023-09-30T00:00:00+00:00,,MAT-99#None,MAT-99_Plant3#None,Plant3#None,PO_ITEM--104-5#None,,SUPPLIER--11#None,0.0,0.0
e548,Create Purchase Order Item,2023-10-01T00:00:00+00:00,,MAT-44#None,MAT-44_Plant5#None,Plant5#None,PO_ITEM--65-1#None,,SUPPLIER--24#None,26.0,26.0
e549,Create Sales Order Item,2023-10-01T00:00:00+00:00,CUSTOMER--26#None,MAT-44#None,MAT-44_Plant1#None,Plant1#None,,SO_ITEM--107-4#None,,71.0,71.0
e1145,Create Purchase Order Item,2023-10-01T00:00:00+00:00,,MAT-87#None,MAT-87_Plant3#None,Plant3#None,PO_ITEM--65-3#None,,SUPPLIER--24#None,0.0,0.0
e1206,Create Purchase Suggestion Item,2023-10-01T00:00:00+00:00,,MAT-92#None,MAT-92_Plant2#None,Plant2#None,,,,0.0,0.0
e1012,Create Purchase Order Item,2023-10-03T00:00:00+00:00,,MAT-76#None,MAT-76_Plant4#None,Plant4#None,PO_ITEM--35-3#None,,SUPPLIER--24#None,96.0,96.0
e723,Create Sales Order Item,2023-10-05T00:00:00+00:00,CUSTOMER--43#None,MAT-55#None,MAT-55_Plant1#None,Plant1#None,,SO_ITEM--16-1#None,,0.0,0.0
e840,Create Sales Order Item,2023-10-05T00:00:00+00:00,CUSTOMER--43#None,MAT-64#None,MAT-64_Plant4#None,Plant4#None,,SO_ITEM--16-5#None,,0.0,0.0
e1074,Create Sales Order Item,2023-10-05T00:00:00+00:00,CUSTOMER--43#None,MAT-81#None,MAT-81_Plant4#None,Plant4#None,,SO_ITEM--16-3#None,,0.0,0.0
e675,Create Purchase Order Item,2023-10-06T00:00:00+00:00,,MAT-52#None,MAT-52_Plant1#None,Plant1#None,PO_ITEM--141-1#None,,SUPPLIER--10#None,0.0,0.0
e784,Create Purchase Order Item,2023-10-06T00:00:00+00:00,,MAT-60#None,MAT-60_Plant2#None,Plant2#None,PO_ITEM--141-4#None,,SUPPLIER--10#None,129.0,129.0
e687,Create Purchase Order Item,2023-10-08T00:00:00+00:00,,MAT-53#None,MAT-53_Plant5#None,Plant5#None,PO_ITEM--62-4#None,,SUPPLIER--15#None,0.0,0.0
e942,Create Purchase Order Item,2023-10-08T00:00:00+00:00,,MAT-71#None,MAT-71_Plant4#None,Plant4#None,PO_ITEM--62-3#None,,SUPPLIER--15#None,0.0,0.0
e998,Create Purchase Order Item,2023-10-08T00:00:00+00:00,,MAT-75#None,MAT-75_Plant2#None,Plant2#None,PO_ITEM--62-1#None,,SUPPLIER--15#None,45.0,45.0
e210,Create Purchase Suggestion Item,2023-10-09T00:00:00+00:00,,MAT-18#None,MAT-18_Plant4#None,Plant4#None,,,,88.0,88.0
e688,Create Sales Order Item,2023-10-09T00:00:00+00:00,CUSTOMER--47#None,MAT-53#None,MAT-53_Plant4#None,Plant4#None,,SO_ITEM--120-1#None,,44.0,44.0
